"","ID","Group","MEblue","MEtan","MElightgreen","MElightcyan","MEyellow","MEroyalblue","MEcyan","MEmagenta","MEdarkturquoise","MEgrey60","MEblack","MEdarkgrey","MEorange","MEdarkred","MEpink","MEturquoise","MEsteelblue","MEwhite","MEdarkorange","MEmidnightblue","MEpurple","MEred","MEdarkgreen","MEbrown","MElightyellow","MEskyblue","MEsaddlebrown","MEsalmon","MEgreen","MEgreenyellow"
"1","5","High",0.0184860445755011,0.258000737541658,0.00120376574898132,0.243851254973327,0.128526357239954,0.154221695611903,0.160095067051669,0.103617298524975,-0.15432008431063,-0.0420309915280446,0.0300527512433669,-0.058486986117848,0.0088271068388125,0.0248836996057656,-0.0448245787604901,-0.0269361592911729,-0.129735336936257,-0.124107361415809,0.0676885312560423,0.080610168475383,0.012283213260561,-0.0218106863926879,-0.036498321360776,0.0516233075303044,0.0506233178620317,-0.144867534314328,0.084962945710811,-0.225837890473378,-0.190481711894522,-0.208465443517884
"2","6","Medium",0.00983594779600356,0.213189989165009,0.0530613570114663,0.172738312477613,0.0470290490605884,0.0915763182469541,0.0899944208510765,0.0620541359921257,-0.214436747229093,-0.122451187693192,-0.0596189096348696,0.044016600296645,-0.048936434142761,-0.051454003216886,-0.00133601040024067,-0.00474889549100902,0.0744092503214108,0.0539148910255832,0.0440629233494588,-0.0136614341218297,0.0666092681578145,0.0374594202488353,0.0220473213025556,0.0418411116282666,0.00986530376144075,-0.104262750559005,-0.0468578920104872,-0.110674851896227,-0.112039944484174,-0.122181672676109
"3","8","High",0.0202658940954631,0.14335620459508,0.136421956244248,0.209562523173395,0.1667651261946,0.184667162152545,0.142234825729147,0.124820719850747,-0.173751107521878,-0.160954714413849,0.00211770397637482,0.0088602633995654,0.00970204479562853,0.0445560992362652,0.0584087453381282,-0.00383614443824266,-0.0446548424269114,-0.0697456750449614,-0.0473926443550505,-0.054572753893176,-0.1103061889648,-0.0680052471830881,-0.11982682708476,-0.0855349385170953,-0.0582166755212103,-0.118765328211567,0.0374892623546562,-0.149241364418573,-0.137830632488044,-0.186337753493741
"4","11","High",0.0494554789344649,0.125734152515565,0.276116488870231,0.167370835274712,0.193369872004437,0.215087110164329,0.192750322750808,0.157212359320272,-0.236404142694314,-0.145606188143242,-0.150944987806634,-0.0756158433208279,-0.153566220344233,-0.159899248311671,-0.200471819137809,-0.048575547829027,0.0847992317828278,0.0582768759038145,-0.0994176773295479,-0.152397504601784,-0.0336737095505653,0.0213676669296753,-0.139660789485204,-0.0165126285705773,-0.0394090770992542,-0.0212691264357252,-0.138483569656547,-0.251282780428786,-0.184081673207626,-0.256836784744216
"5","12","High",0.0064011628476922,0.174956503385549,0.217064452271884,0.16666407937867,0.156842612057387,0.177036131310171,0.151881968844703,0.169091476046871,0.0444136280316153,0.11774837613621,-0.0711441595460145,0.0146647526612189,0.0411694735128328,0.0371174153213414,0.0905408303293256,-0.0146641301088507,-0.067990150986379,-0.0144611004816777,0.0166714444859253,0.0123708934045442,-0.024915549820552,-0.0529197701882171,-0.0644005065085734,0.00171126850696512,0.0511898647223315,-0.105772566772516,-0.209030397397868,-0.209779210443598,-0.197626746287679,-0.209494370149705
"6","16","Low",0.0405358049996556,0.0973660387169274,0.0525754723475279,0.10463695559776,0.054900133280136,0.102838561243823,0.126675848757919,0.122947797173253,-0.0849163610832681,-0.0314153800542732,-0.0363404955215538,0.236192016925695,0.169026939007302,0.159725793887422,0.322988896696994,-0.0558990407234147,-0.112303787593108,-0.123385636406022,0.0547317471592774,0.0739916722046548,-0.039293077135527,-0.0863057374948323,-0.0039152369234839,0.0360786892576904,0.0313678107364091,-0.0395054246548185,-0.0598094394473565,-0.131512541408028,-0.0734970180561432,-0.0557937193609088
"7","18","High",0.0695881295054262,0.0830626174648429,0.182887794455336,0.187838613699245,0.166648387360838,0.190130140944293,0.162895873240416,0.175496844418216,0.128079168076227,0.203119800351851,-0.0820549402398078,-0.0123964248004878,0.150917353540152,0.0743342838587909,0.0273832264126402,-0.0417749510788347,-0.0158111901305135,0.0564995777152568,-0.226037211173115,-0.23620838082204,-0.0970497201932332,-0.0564439653325783,-0.254917591213044,-0.0717809811564075,-0.124045423976562,-0.110707928893045,-0.174110695533812,-0.241227823114367,-0.195930146069265,-0.265448859353027
"8","19","Low",0.0562301002340235,0.245346235305342,0.23448842884484,0.182588529030126,0.104319298681483,0.116810706173463,0.148344038677845,0.102555393685934,-0.167032531919867,-0.136358716188278,-0.140295881747856,-0.0786349908665453,-0.0738744748768883,-0.102045146679826,-0.0968372939391662,-0.0527460169041148,0.0383196282931383,0.06651083735472,0.0433033335188798,-0.0120040900132053,0.0363506997013366,0.0453838300690668,-0.00556307947316694,0.0693671930318646,0.101439886886088,-0.152505079207475,-0.000864247809244206,-0.263778194094727,-0.186684428898302,-0.228698093115195
"9","21","High",0.0394203987069106,0.250164221432692,0.124875257791781,0.197196394878911,0.141871550069635,0.091588113077482,0.188528000829818,0.108176422947353,-0.0940543466261635,-0.0541609468832222,-0.100811076725168,-0.0978214670739342,-0.0430501315494599,-0.0890459719426749,-0.0684341256092386,-0.0360971733014723,-0.00368449010684975,0.00267010291785628,0.0538002650086458,0.0113522216548428,0.0468967986552114,0.020654177185893,-0.00893321947148961,0.115034890378634,0.11013757519178,-0.147487414409584,-0.286454575497099,-0.26163157938634,-0.225049697788158,-0.263509066197821
"10","22","Medium",0.0362959432682006,0.205171046440407,0.050977620799919,0.143628848443406,0.0791813675878809,0.0660261928127193,0.139761013097257,0.113108094494751,0.00313796786451398,0.109661361257485,-0.0651003601858232,-0.010103348064027,0.00718389702248315,-0.00843693736717982,-0.0398495961811088,-0.0668245391962132,-0.0816887625538863,-0.0267266137123615,0.0890267557578829,0.0274285374293923,-0.00736322837965271,-0.0294519095981478,-0.00326098743615465,0.0794047139537419,0.0686735994579638,0.0147041634458896,-0.0723045568867498,-0.1180211539507,-0.133915171706119,-0.0553292766308247
"11","24","Low",-0.0311367233177086,0.217134998631449,0.159033223835063,0.164955474029916,0.135855569076233,0.0683652464019994,0.0811608251395503,0.0317985035961388,0.027843278231412,0.183897220313003,-0.0509128649487892,-0.118801922373494,-0.026302481195137,-0.0342095335715845,-0.0383715000571719,0.0130716934863359,-0.0627251874071735,-0.0316105519409306,0.0495129587263761,-0.0546219393669476,0.0709908239613044,0.0553524819860754,0.0145731256325727,0.0609540320880838,0.109891337592362,-0.0778976465052989,-0.0480060160174253,-0.214720096686804,-0.236190211434579,-0.246884075721078
"12","25","Low",-0.0290792793403011,-0.00141153483251498,0.0897405906003175,0.0454521771467137,0.080153320429036,0.0982249344493666,0.0629216789724651,-7.1010977344727e-05,-0.119588988628405,-0.122415170903288,-0.0163694780377912,-0.0212789054324248,-0.0879169195015262,-0.0386599895043244,-0.0442331750957382,0.0302601892914614,0.0601483810065101,0.0157085068727851,-0.0266056235526767,-0.0719004031051853,0.0403345100739188,0.0416776239912673,-0.00482855300601996,0.00804727984709816,-0.0129961408257498,-0.116716277102925,-0.097166583659122,-0.0798476649121876,-0.062736180456868,-0.0961092534057091
"13","29","Low",-0.0706717038245138,0.00265703084579523,0.0108437317090513,0.108102537200358,0.12820942662194,0.0838505440926817,0.118230427111081,0.0113879005541797,0.0632360516314583,0.131794372748677,0.0528288858440234,0.0842518542269479,0.0787253309667066,0.118566912502834,0.118440762217561,0.0590156908568351,0.140033722235879,0.123842001348885,0.00463271173440897,-0.0447683127257104,-0.0952755223512313,-0.0838170993487671,-0.0651093721585499,-0.108419201528876,-0.0783483654383683,0.28724851138906,0.0302358601379524,-0.00221782270617048,-0.073414520061101,-0.0528562615351835
"14","30","High",-0.00702203929356291,-0.0822987599430235,0.109212153197413,0.0753797859802609,0.136787756902716,0.169380898607308,0.127496066708414,0.145705331994539,0.154276939532943,0.235561765539328,0.00396771880363663,0.0615104680320741,0.123970424851157,0.137030873366574,0.143145028469569,0.0128154372669561,0.256064109221616,0.179613935822572,-0.111245689560365,-0.148018583340256,-0.131813785438636,-0.125262515475802,-0.11352963476305,-0.131862682384475,-0.102163660381792,-0.0212504136392227,-0.103319159326597,-0.0885766310352248,-0.0582793234398183,-0.0668062149558486
"15","34","High",0.0180566559134296,-0.114771165590033,0.0724091309144227,-0.071650032816469,7.51767012775922e-05,0.00195825290064481,0.0272963908680832,-0.0193111382859033,0.140710402424521,0.173209819202868,-0.0428803351135009,0.00822562641033506,0.0445293673815438,-0.0102870711735148,0.00566587557768983,-0.0183333055275989,0.135417649864269,0.136783965167925,-0.0249881945283959,-0.0354381007888031,0.0324756701028542,-0.0105071775683977,-0.00602921992861002,0.00971390643488185,-0.0351098774157033,-0.0710869687811864,-0.194913202069111,-0.0322095821233628,-0.0157440940875105,-0.0310007214385387
