"","Matz_Number","Serial","Replicate","Assay","PC1Group","PC2Group","PC3Group","Size_mm","Date","Aresp","Alateraliz","AReacDist_cm","ALatency_ms","AResp_dist_cm","AResp_spd_mms","AResp_MX_spd","At2mxspd_s","Aresp_dur_s","Amx_accel","At2mxaccel","VResp_dist_cm","VResp_spd_mms","VMeanAngSpd","VMeanMeander","VMeanMobility","RDistanceMoved_cm","RMeanSpeed","RMeanAngularSpd","RMeanMeander","RMeanMobility"
"166",166,120,2,"acoustic",-0.18,-0.52,1.11,12.084,41725,1,0,NA,16.7,1.87,17.56,73.38,0.013,0.096,11137.4,0.021,NA,NA,NA,NA,NA,35.84,1.08,-20.17,91.42,32.62
"167",167,121,2,"acoustic",-0.34,0.91,-0.52,12.734,41725,1,1,NA,12.5,1.44,22.46,67.65,0.008,0.054,10666.8,0.008,NA,NA,NA,NA,NA,26.76,0.81,-0.97,-13.7,39.29
"168",168,122,2,"acoustic",-0.59,-0.62,-0.23,11.51,41725,1,0,NA,8.3,1.38,16.99,51.88,0.004,0.079,3937.7,0.042,NA,NA,NA,NA,NA,12.66,0.38,3.38,-804.74,25.49
"16",16,64,1,"visual",-0.73,0.21,NA,13.053,41618,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93,0.52,-156.22,-391.9,19.54,23.04,0.7,-59.16,-527.65,15.69
"170",170,124,2,"acoustic",1.41,-1.09,0.56,11.804,41725,1,1,NA,16.7,3.78,24.46,83.66,0.025,0.146,15751,0.075,NA,NA,NA,NA,NA,73.4,2.21,21.89,293.05,46.99
"173",173,127,2,"acoustic",-0.6,-0.41,1.31,11.296,41725,1,0,NA,25,1.57,26.76,49.91,0.013,0.054,6331.4,0.033,NA,NA,NA,NA,NA,24.39,0.73,7.8,77.83,32.84
"179",179,133,2,"acoustic",0.88,1.09,-0.85,11.181,41725,1,1,NA,4.2,2.04,23.17,106.52,0.013,0.092,25565,0.013,NA,NA,NA,NA,NA,32.3,0.97,-8.38,110.12,25.64
"180",180,134,2,"acoustic",-0.09,-0.31,-0.86,12.014,41725,1,1,NA,12.5,1.69,20.27,52.61,0.013,0.079,8927.8,0.05,NA,NA,NA,NA,NA,49.21,1.51,-35.84,-201.9,42.11
"181",181,135,2,"acoustic",0.46,0,1.39,11.719,41725,1,0,NA,12.5,2.55,21.8,105.21,0.013,0.117,13273.4,0.013,NA,NA,NA,NA,NA,36.69,1.09,1.31,-671.03,33.97
"182",182,136,2,"acoustic",-0.79,0.08,-0.12,12.545,41725,1,0,NA,8.3,1.04,16.45,59.98,0.008,0.063,6410.4,0.008,NA,NA,NA,NA,NA,52.98,1.59,-0.2,17.74,49.61
"186",186,140,2,"acoustic",-0.77,-0.32,0.69,9.464,41725,1,0,NA,12.5,1.5,15.22,49.91,0.004,0.088,4935.1,0.013,NA,NA,NA,NA,NA,62.66,1.89,19.34,33.86,46.5
"18",18,66,1,"visual",0.72,0.72,NA,11.978,41618,1,1,4.94,904.2,NA,NA,NA,NA,NA,NA,NA,4.51,6.76,157.55,170.43,75.28,10.15,0.32,61.03,1438.87,14.62
"190",190,144,2,"acoustic",-0.08,0.13,2.45,12.495,41725,1,1,NA,33.3,2.7,24.22,68.59,0.004,0.1,10402.8,0.013,NA,NA,NA,NA,NA,54.46,1.63,37.66,173.89,33.66
"19",19,67,1,"visual",-0.69,-0.64,NA,12.213,41618,1,0,1.4,950,NA,NA,NA,NA,NA,NA,NA,5.53,1.32,59.79,-441.05,20.37,17.41,0.52,-36.24,-1402.01,9.78
"21",21,69,1,"visual",1.2,0.32,NA,11.286,41618,1,1,0.36,929.2,NA,NA,NA,NA,NA,NA,NA,5.04,6.57,-450.39,-110.38,78.68,43.86,1.5,17.39,-176.31,35.13
"22",22,70,1,"visual",-0.55,-0.29,NA,12.103,41618,1,1,4.11,925,NA,NA,NA,NA,NA,NA,NA,4.86,1.62,-72.38,-162.21,27.38,26.31,0.82,-9.21,-600.65,15.01
"24",24,72,1,"visual",-1.39,0.71,NA,11.507,41618,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.15,0.67,314.69,1006.22,21.1,22,0.66,-2.43,199.72,13.15
"25",25,73,1,"visual",-2.58,1.19,NA,11.384,41618,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.79,0.89,2250.5,987.59,15.81,10.92,0.36,114.48,8921.29,9.6
"29",29,77,1,"visual",-1.89,1.57,NA,11.369,41618,1,0,5.88,875,NA,NA,NA,NA,NA,NA,NA,1.94,0.42,135.34,2320.18,12.48,6.16,0.19,67.89,-1972.5,5.32
"30",30,78,1,"visual",2.15,0.37,NA,12.466,41618,1,1,9.42,879.2,NA,NA,NA,NA,NA,NA,NA,5.89,11.78,-681.74,-312.6,82.81,14.72,0.44,-11.59,-403.22,12.87
"34",34,82,1,"visual",0.7,1.14,NA,12.735,41618,1,0,4.11,912.5,NA,NA,NA,NA,NA,NA,NA,2.77,6.38,284.38,32.24,79.74,27.15,0.85,31.73,-163.27,21.64
"36",36,84,1,"visual",-0.7,-0.96,NA,12.363,41618,1,1,10.15,879.2,NA,NA,NA,NA,NA,NA,NA,7.87,1.83,-40.74,94.49,21.12,15.14,0.48,-35.53,-129.81,12.97
"37",37,85,1,"visual",-0.28,0.03,NA,12.602,41618,1,0,4.43,866.7,NA,NA,NA,NA,NA,NA,NA,2.11,1.75,235.09,-1209.16,34.39,46.12,1.4,12.02,339.46,26.99
"39",39,87,1,"visual",-1.46,1.2,NA,12.602,41618,1,0,0.46,945.8,NA,NA,NA,NA,NA,NA,NA,4.81,1.57,165.55,2619,33.57,21.89,0.69,-16.11,-121.68,19
"40",40,88,1,"visual",0.46,-0.97,NA,11.911,41618,1,1,1.61,904.2,NA,NA,NA,NA,NA,NA,NA,10.31,6.57,79.03,128.95,55.66,13.17,0.4,65.99,13093.2,10.65
