"","ID","Group","MEdarkorange","MEgreen","MEgreenyellow","MEred","MEblack","MEblue","MEdarkgreen","MEskyblue","MEbrown","MEdarkred"
"1","5","High",0.0676885312560423,-0.190481711894522,-0.208465443517884,-0.0218106863926879,0.0300527512433669,0.0184860445755011,-0.036498321360776,-0.144867534314328,0.0516233075303044,0.0248836996057656
"2","6","Medium",0.0440629233494588,-0.112039944484174,-0.122181672676109,0.0374594202488353,-0.0596189096348696,0.00983594779600356,0.0220473213025556,-0.104262750559005,0.0418411116282666,-0.051454003216886
"3","8","High",-0.0473926443550505,-0.137830632488044,-0.186337753493741,-0.0680052471830881,0.00211770397637482,0.0202658940954631,-0.11982682708476,-0.118765328211567,-0.0855349385170953,0.0445560992362652
"4","11","High",-0.0994176773295479,-0.184081673207626,-0.256836784744216,0.0213676669296753,-0.150944987806634,0.0494554789344649,-0.139660789485204,-0.0212691264357252,-0.0165126285705773,-0.159899248311671
"5","12","High",0.0166714444859253,-0.197626746287679,-0.209494370149705,-0.0529197701882171,-0.0711441595460145,0.0064011628476922,-0.0644005065085734,-0.105772566772516,0.00171126850696512,0.0371174153213414
"6","16","Low",0.0547317471592774,-0.0734970180561432,-0.0557937193609088,-0.0863057374948323,-0.0363404955215538,0.0405358049996556,-0.0039152369234839,-0.0395054246548185,0.0360786892576904,0.159725793887422
"7","18","High",-0.226037211173115,-0.195930146069265,-0.265448859353027,-0.0564439653325783,-0.0820549402398078,0.0695881295054262,-0.254917591213044,-0.110707928893045,-0.0717809811564075,0.0743342838587909
"8","19","Low",0.0433033335188798,-0.186684428898302,-0.228698093115195,0.0453838300690668,-0.140295881747856,0.0562301002340235,-0.00556307947316694,-0.152505079207475,0.0693671930318646,-0.102045146679826
"9","21","High",0.0538002650086458,-0.225049697788158,-0.263509066197821,0.020654177185893,-0.100811076725168,0.0394203987069106,-0.00893321947148961,-0.147487414409584,0.115034890378634,-0.0890459719426749
"10","22","Medium",0.0890267557578829,-0.133915171706119,-0.0553292766308247,-0.0294519095981478,-0.0651003601858232,0.0362959432682006,-0.00326098743615465,0.0147041634458896,0.0794047139537419,-0.00843693736717982
"11","24","Low",0.0495129587263761,-0.236190211434579,-0.246884075721078,0.0553524819860754,-0.0509128649487892,-0.0311367233177086,0.0145731256325727,-0.0778976465052989,0.0609540320880838,-0.0342095335715845
"12","25","Low",-0.0266056235526767,-0.062736180456868,-0.0961092534057091,0.0416776239912673,-0.0163694780377912,-0.0290792793403011,-0.00482855300601996,-0.116716277102925,0.00804727984709816,-0.0386599895043244
"13","29","Low",0.00463271173440897,-0.073414520061101,-0.0528562615351835,-0.0838170993487671,0.0528288858440234,-0.0706717038245138,-0.0651093721585499,0.28724851138906,-0.108419201528876,0.118566912502834
"14","30","High",-0.111245689560365,-0.0582793234398183,-0.0668062149558486,-0.125262515475802,0.00396771880363663,-0.00702203929356291,-0.11352963476305,-0.0212504136392227,-0.131862682384475,0.137030873366574
"15","34","High",-0.0249881945283959,-0.0157440940875105,-0.0310007214385387,-0.0105071775683977,-0.0428803351135009,0.0180566559134296,-0.00602921992861002,-0.0710869687811864,0.00971390643488185,-0.0102870711735148
"16","36","Low",-0.029946810100932,-0.111594303959729,-0.104479136657058,-0.0554381764595518,0.126594471395149,-0.0742945195485122,-0.0945330570653379,-0.116889305142651,-0.125400619272139,0.125246381550123
"17","37","Medium",0.051927406068945,-0.026498712158055,0.0442554897129943,-0.143830177349197,0.206180535233511,-0.0738762487284751,-0.110007787284056,-0.046360675578352,-0.188906647715019,0.254586595155303
"18","39","Low",-0.238107489870764,0.00576798364045829,0.028589166856687,-0.193188525443945,0.147658568384488,-0.0291253023340631,-0.288391546929193,-0.0505943958033846,-0.294813304462333,0.339210624844193
"19","40","Medium",0.104499890366898,-0.0518628133656594,-0.0139059429586391,0.0990894331992837,0.0382953299738416,-0.0857647774052362,0.0762417395722097,0.0693164247010404,0.0284934545742096,-0.0484796453743209
"20","101","Medium",-0.0348723602549876,0.0285177134442767,-0.0176053825300302,-0.0967158491295799,-0.0526894807140389,0.18374758008654,-0.0375206453852386,-0.00177554693740695,0.12266481280844,0.0093491892304305
"21","102","Low",0.0981846833430334,0.195125915871615,0.183400478376386,-0.0750627407991626,-0.0175998170098796,0.196470222587766,0.165974844861059,0.0788440873358541,0.192043385073687,0.001087563977693
"22","105","Medium",-0.0716350376906609,0.0251237012067494,-0.00829682502509455,-0.170876341579672,-0.0360719688375932,0.197842890053639,-0.0550381279028,-0.0148742725880647,0.102821491645509,-0.00426360907900869
"23","106","High",-0.101087794183904,0.128047029334301,0.0791212397085945,0.0639070985402869,-0.0930431639288799,0.184991905731904,0.0744731855976964,-0.00838445767360765,0.203643278738242,-0.143409853990035
"24","107","Medium",-0.080260946133483,0.0352065495568732,0.0216613112903963,-0.271642921248676,0.0289439683097543,0.207845405348938,-0.105168270005096,-0.0051085277258848,-0.0206574637962309,0.0802918369495517
"25","108","High",-0.0110152448819461,0.0360674283710953,0.0614792094971169,0.0265843982425832,-0.0956502200442928,0.0824525958999094,0.022061371844284,-0.0407360902846137,0.121425579249789,-0.0788518329032584
"26","109","Low",-0.08964613463997,0.0548217602759384,0.0381870875141896,-0.0579091867193859,-0.0510648571950234,0.082350657048989,-0.0759142083287803,0.00643351378248725,-0.0157514848781917,-0.000480074091668366
"27","110","Medium",-0.0041658918964172,0.0917931475588966,0.0836306985686915,-0.0124853962942597,-0.000427256493483211,0.0377888908516133,0.0381336165353083,-0.0126167127401106,-0.00128484957141492,0.0389208480662784
